"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.586979360E-1,-2.324300003E1,-7.671000004E0,-3.549000025E0,2.473209843E1
9.636790880E-1,-2.315800095E1,-7.796000004E0,-4.138999939E0,2.478309796E1
9.686600900E-1,-2.304000092E1,-7.959000111E0,-4.769000053E0,2.483808943E1
9.736412360E-1,-2.276700020E1,-8.154000282E0,-5.436999798E0,2.478679054E1
9.786222380E-1,-2.239399910E1,-8.354999542E0,-6.086999893E0,2.466472746E1
9.836033950E-1,-2.201199913E1,-8.548000336E0,-6.571000099E0,2.451070088E1
9.885843970E-1,-2.162199974E1,-8.659000397E0,-6.868999958E0,2.428316950E1
9.935655490E-1,-2.114500046E1,-8.717000008E0,-7.073999882E0,2.394031344E1
9.985465410E-1,-2.062299919E1,-8.774000168E0,-7.130000114E0,2.351867505E1
1.003527693E0,-2.012700081E1,-8.897999763E0,-6.868999958E0,2.305328007E1
1.008508594E0,-1.971599960E1,-9.029999733E0,-6.574999809E0,2.266036536E1
1.013489823E0,-1.940299988E1,-9.161000252E0,-6.248000145E0,2.234810586E1
1.018470748E0,-1.913500023E1,-9.326999664E0,-5.794000149E0,2.206154107E1
1.023451767E0,-1.886899948E1,-9.470000267E0,-5.081999779E0,2.171512764E1
1.028432919E0,-1.866799927E1,-9.564999580E0,-4.287000179E0,2.140938542E1
1.033413907E0,-1.844899940E1,-9.635999680E0,-3.602999926E0,2.112343905E1
1.038395059E0,-1.817200089E1,-9.741000175E0,-2.950999975E0,2.082827649E1
1.043376070E0,-1.785099983E1,-9.876999855E0,-2.207999945E0,2.052044310E1
1.048357222E0,-1.737800026E1,-1.010999966E1,-1.389999986E0,2.015289275E1
1.053338224E0,-1.681900024E1,-1.040200043E1,-5.910000205E-1,1.978458145E1
1.058319376E0,-1.616900063E1,-1.075699997E1,2.090000063E-1,1.942146520E1
1.063300378E0,-1.537100029E1,-1.111299992E1,9.509999752E-1,1.899133534E1
1.068281529E0,-1.451500034E1,-1.144699955E1,1.600000024E0,1.855475771E1
1.073262536E0,-1.355000019E1,-1.173200035E1,2.226999998E0,1.806105939E1
1.078243688E0,-1.244200039E1,-1.198799992E1,2.914999962E0,1.752177903E1
1.083224680E0,-1.127799988E1,-1.222999954E1,3.608000040E0,1.702303834E1
1.088205832E0,-1.016600037E1,-1.246399975E1,4.298999786E0,1.664873125E1
1.093186834E0,-9.156999588E0,-1.263099957E1,5.046999931E0,1.639710340E1
1.098167977E0,-8.435999870E0,-1.267000008E1,5.862999916E0,1.631164504E1
1.103148979E0,-8.012000084E0,-1.265200043E1,6.808000088E0,1.645035335E1
1.108130131E0,-7.853000164E0,-1.259899998E1,7.920000076E0,1.682649141E1
1.113111113E0,-7.761000156E0,-1.259700012E1,9.121000290E0,1.738131703E1
1.118092265E0,-7.469999790E0,-1.270199966E1,1.030099964E1,1.797921817E1
1.123073267E0,-6.929999828E0,-1.298900032E1,1.130799961E1,1.856367103E1
1.128054419E0,-6.245999813E0,-1.340499973E1,1.213700008E1,1.913147413E1
1.133035421E0,-5.526000023E0,-1.384500027E1,1.274800014E1,1.961459192E1
1.138016592E0,-4.903999805E0,-1.423400021E1,1.319799995E1,2.002106837E1
1.142997594E0,-4.469999790E0,-1.449300003E1,1.340299988E1,2.024026565E1
1.147978746E0,-4.214000225E0,-1.455799961E1,1.328400040E1,2.015335746E1
1.152959748E0,-4.163000107E0,-1.447700024E1,1.277600002E1,1.975196907E1
1.157940900E0,-4.335000038E0,-1.431200027E1,1.218299961E1,1.928862506E1
1.162921815E0,-4.612999916E0,-1.416199970E1,1.180900002E1,1.900774803E1
1.167902813E0,-5.002999783E0,-1.405799961E1,1.176299953E1,1.900067151E1
1.172884044E0,-5.543000221E0,-1.388500023E1,1.180500031E1,1.904930747E1
1.177864954E0,-6.103000164E0,-1.375800037E1,1.165999985E1,1.903903311E1
1.182846106E0,-6.481999874E0,-1.385900021E1,1.148799992E1,1.913275597E1
1.187827108E0,-6.552000046E0,-1.413300037E1,1.132999992E1,1.926238050E1
1.192808256E0,-6.342999935E0,-1.449600029E1,1.112600040E1,1.934310103E1
1.197789258E0,-6.085000038E0,-1.487600040E1,1.094699955E1,1.944632131E1
