"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.897865120E-1,8.074000359E0,2.849999964E-1,2.209000111E0,8.375582862E0
9.947671470E-1,7.662000179E0,3.750000000E-1,2.349999905E0,8.023052493E0
9.997477630E-1,6.986000061E0,4.600000083E-1,2.380000114E0,7.394605967E0
1.004728621E0,6.173999786E0,5.189999938E-1,2.315000057E0,6.614140883E0
1.009709238E0,5.281000137E0,5.220000148E-1,2.207000017E0,5.747372925E0
1.014689929E0,4.354000092E0,4.679999948E-1,2.082000017E0,4.848820977E0
1.019670541E0,3.461999893E0,3.770000041E-1,1.921000004E0,3.977161460E0
1.024651385E0,2.700999975E0,2.840000093E-1,1.731999993E0,3.221161413E0
1.029632003E0,2.072000027E0,2.199999988E-1,1.490000010E0,2.561578447E0
1.034612698E0,1.687999964E0,2.349999994E-1,1.141999960E0,2.051519628E0
1.039593315E0,1.631000042E0,2.689999938E-1,7.519999743E-1,1.816046832E0
1.044574188E0,1.876000047E0,2.980000079E-1,4.589999914E-1,1.954190669E0
1.049554806E0,2.257999897E0,3.319999874E-1,3.039999902E-1,2.302434260E0
1.054535496E0,2.650000095E0,3.899999857E-1,2.860000134E-1,2.693769942E0
1.059516104E0,2.994999886E0,4.959999919E-1,3.600000143E-1,3.057064003E0
1.064496948E0,3.246999979E0,6.449999809E-1,4.839999974E-1,3.345637434E0
1.069477565E0,3.358999968E0,7.710000277E-1,6.179999709E-1,3.501320578E0
1.074458245E0,3.345999956E0,8.209999800E-1,6.970000267E-1,3.515048465E0
1.079438863E0,3.193000078E0,8.410000205E-1,6.069999933E-1,3.357227953E0
1.084419688E0,2.911000013E0,8.080000281E-1,3.899999857E-1,3.046126247E0
1.089400305E0,2.535000086E0,7.319999933E-1,1.030000001E-1,2.640579184E0
1.094380996E0,2.214999914E0,6.579999924E-1,2.000000095E-3,2.310669299E0
1.099361608E0,4.177999973E0,2.759999931E-1,1.580000073E-1,4.190086368E0
1.104342452E0,4.144300079E1,-2.976000071E0,2.543999910E0,4.162752487E1
1.109323070E0,2.085600090E1,5.299999714E-1,6.775000095E0,2.193522965E1
1.114303770E0,-1.539900017E1,7.580999851E0,3.770999908E0,1.757330946E1
1.119284387E0,-7.973000050E0,5.133999825E0,2.519000053E0,9.811831901E0
1.124265241E0,-5.849999785E-1,4.869999886E-1,1.046000004E0,1.293642134E0
1.129245858E0,4.970000088E-1,-1.861999989E0,7.919999957E-1,2.083582722E0
1.134226548E0,1.294000030E0,-2.138999939E0,9.969999790E-1,2.691424488E0
1.139207371E0,2.193000078E0,-1.366999984E0,1.536000013E0,3.006199318E0
1.144187989E0,9.440000057E-1,8.299999684E-2,1.442999959E0,1.726346979E0
1.149168679E0,-1.090000033E0,1.172999978E0,5.749999881E-1,1.701368275E0
1.154149315E0,-5.849999785E-1,9.340000153E-1,-2.049999982E-1,1.120984390E0
1.159129930E0,7.409999967E-1,3.160000145E-1,-2.189999968E-1,8.348041704E-1
1.164110783E0,1.167999983E0,1.159999967E-1,4.620000124E-1,1.261397626E0
1.169091400E0,1.039999962E0,3.109999895E-1,9.649999738E-1,1.452427576E0
1.174072091E0,5.130000114E-1,4.779999852E-1,9.250000119E-1,1.160723059E0
1.179052695E0,6.190000176E-1,3.919999897E-1,8.180000186E-1,1.098157113E0
1.184033539E0,9.399999976E-1,2.090000063E-1,9.819999933E-1,1.375356312E0
1.189014157E0,1.021999955E0,1.379999965E-1,1.297000051E0,1.657026565E0
1.193994855E0,7.340000272E-1,2.140000015E-1,1.578999996E0,1.754363995E0
1.198975701E0,3.479999900E-1,2.709999979E-1,1.598000050E0,1.657754249E0
1.203956296E0,8.799999952E-2,2.199999988E-1,1.457000017E0,1.476141270E0
1.208936911E0,-1.260000020E-1,1.190000027E-1,1.241000056E0,1.253043551E0
1.213917601E0,-4.480000138E-1,4.800000042E-2,9.689999819E-1,1.068629486E0
1.218898210E0,-7.269999981E-1,3.299999982E-2,6.949999928E-1,1.006301638E0
1.223879054E0,-9.179999828E-1,9.999999776E-3,4.530000091E-1,1.023734818E0
1.228859671E0,-9.950000048E-1,-2.999999933E-2,1.809999943E-1,1.011773694E0
1.233840347E0,-8.500000238E-1,-6.199999899E-2,-8.100000024E-2,8.560987329E-1
1.238821193E0,-4.300000072E-1,-7.500000298E-2,-2.590000033E-1,5.075490206E-1
1.243801815E0,1.550000012E-1,-6.100000069E-2,-2.779999971E-1,3.240833209E-1
1.248782506E0,8.240000010E-1,-4.000000190E-3,-1.790000051E-1,8.432277293E-1
1.253763123E0,1.514999986E0,1.350000054E-1,1.899999939E-2,1.521121612E0
1.258743728E0,2.141999960E0,2.989999950E-1,2.179999948E-1,2.173726943E0
1.263724572E0,2.733999968E0,5.049999952E-1,4.230000079E-1,2.812242846E0
1.268705190E0,3.298000097E0,7.289999723E-1,5.649999976E-1,3.424539472E0
1.273685895E0,3.890000105E0,9.700000286E-1,6.290000081E-1,4.058157449E0
1.278666741E0,4.475999832E0,1.146999955E0,5.989999771E-1,4.659290114E0
1.283647364E0,4.921000004E0,1.236999989E0,4.729999900E-1,5.096090560E0
1.288628054E0,5.184999943E0,1.235999942E0,2.800000012E-1,5.337632459E0
1.293608671E0,5.271999836E0,1.177999973E0,2.199999988E-2,5.402050556E0
1.298589516E0,5.221000195E0,1.095999956E0,-2.300000042E-1,5.339752704E0
