"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.185025630E0,-4.317999840E0,-9.250000119E-1,1.161999941E0,4.566288592E0
1.190006553E0,-4.401999950E0,-9.369999766E-1,1.363000035E0,4.702482495E0
1.194987222E0,-4.511000156E0,-9.879999757E-1,1.358000040E0,4.813463459E0
1.199968374E0,-4.655000210E0,-1.103000045E0,1.207999945E0,4.934055119E0
1.204949299E0,-4.830999851E0,-1.246000051E0,9.459999800E-1,5.077990907E0
1.209929997E0,-4.994999886E0,-1.394000053E0,6.359999776E-1,5.224725445E0
1.214910918E0,-5.109000206E0,-1.531000018E0,3.880000114E-1,5.347559085E0
1.219891826E0,-5.209000111E0,-1.613999963E0,2.389999926E-1,5.458552833E0
1.224872749E0,-5.189000130E0,-1.664999962E0,2.220000029E-1,5.454102238E0
1.229853672E0,-4.934999943E0,-1.791000009E0,3.109999895E-1,5.259146933E0
1.234834629E0,-4.558000088E0,-1.988999963E0,5.220000148E-1,5.000396951E0
1.239815552E0,-4.248000145E0,-2.101999998E0,9.139999747E-1,4.826935382E0
1.244796475E0,-4.079999924E0,-2.043999910E0,1.304000020E0,4.746024764E0
1.249777398E0,-3.953999996E0,-1.917999983E0,1.743999958E0,4.728041429E0
1.254758321E0,-3.769999981E0,-1.879999995E0,2.111000061E0,4.712071847E0
1.259739288E0,-3.505000114E0,-1.934000015E0,2.414999962E0,4.675211939E0
1.264720212E0,-3.161999941E0,-2.058000088E0,2.707999945E0,4.644014609E0
1.269701059E0,-2.809999943E0,-2.154000044E0,3.015000105E0,4.650380791E0
1.274681971E0,-2.536000013E0,-2.157999992E0,3.259999990E0,4.660027894E0
1.279662894E0,-2.319999933E0,-2.114000082E0,3.312000036E0,4.562974937E0
1.284643817E0,-2.148000002E0,-2.131000042E0,3.309000015E0,4.483809350E0
1.289624730E0,-2.030999899E0,-2.201999903E0,3.151000023E0,4.347708052E0
1.294605653E0,-1.968999982E0,-2.289999962E0,2.915999889E0,4.198108635E0
1.299586576E0,-1.894000053E0,-2.365000010E0,2.641999960E0,4.020027989E0
1.304567499E0,-1.828999996E0,-2.440000057E0,2.266999960E0,3.799753950E0
